file_name,tracker_name,reference
com.adsbrower.apk.json,Flurry,https://reports.exodus-privacy.eu.org/trackers/25
com.ilegendsoft.mercury.apk.json,Flurry,https://reports.exodus-privacy.eu.org/trackers/25
com.ilegendsoft.mercury.apk.json,HockeyApp,https://reports.exodus-privacy.eu.org/trackers/26
com.ideashower.readitlater.pro.apk.json,LeanPlum,https://reports.exodus-privacy.eu.org/trackers/28
tr.abak.simsekTarayici.apk.json,Facebook Ads,https://reports.exodus-privacy.eu.org/trackers/65
tr.abak.simsekTarayici.apk.json,Google CrashLytics,https://reports.exodus-privacy.eu.org/trackers/27
tr.abak.simsekTarayici.apk.json,Google Firebase Analytics,https://reports.exodus-privacy.eu.org/trackers/49
com.marthogames.starlander.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.marthogames.starlander.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.marthogames.starlander.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.dolphin.browser.android.jp.apk.json,AppsFlyer,https://reports.exodus-privacy.eu.org/trackers/12
com.wDeepSeacrhBrowser.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.wDeepSeacrhBrowser.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.wDeepSeacrhBrowser.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.wDeepSeacrhBrowser.apk.json,Nexage,https://reports.exodus-privacy.eu.org/trackers/33
com.jakkarrlgames.mathguru.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.jakkarrlgames.mathguru.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.jakkarrlgames.mathguru.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.jiran.xkeeperMonitor.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.jiran.xkeeperMonitor.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.jiran.xkeeperMonitor.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.cleanmaster.security.apk.json,AppsFlyer,https://reports.exodus-privacy.eu.org/trackers/12
org.adblockplus.browser.apk.json,Adjust,https://reports.exodus-privacy.eu.org/trackers/52
org.adblockplus.browser.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
org.adblockplus.browser.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
org.adblockplus.browser.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
com.flyingcat.retroracing.apk.json,Google AdMob,https://reports.exodus-privacy.eu.org/trackers/312
com.flyingcat.retroracing.apk.json,Google Analytics,https://reports.exodus-privacy.eu.org/trackers/48
com.flyingcat.retroracing.apk.json,Google Tag Manager,https://reports.exodus-privacy.eu.org/trackers/105
