APK name,Aggresive Setting,MITM Captured,Certificate Warning,Comment,Note
com.duckduckgo.mobile.android,FALSE,TRUE,FALSE,,
com.eagle.web.browser.fast.privacy.browsers.donwloads.free,TRUE,FALSE,TRUE,,
com.eagle.web.browser.internet.privacy.browser,TRUE,TRUE,TRUE,,
com.elrond.maiar,UNKNOWN,UNKNOWN,UNKNOWN,apps not responding,
com.emmanuelmolefi.skipadsapp,UNKNOWN,UNKNOWN,UNKNOWN,Plugin apps for existing browser,
com.epic.browsercom.epic.browser,TRUE,TRUE,FALSE,,
com.eset.ems2.gp,UNKNOWN,UNKNOWN,UNKNOWN,Anti virus needs login to use it,
com.everaccountable.bulldog,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps,
com.expecode.towebcom.expecode.towebcom.familyfirsttechnology.pornblocker,UNKNOWN,UNKNOWN,UNKNOWN,"VPN based apps, need to register before use",
com.farestld.black_tiger_browser,FALSE,TRUE,FALSE,,
com.fast.turbobrowser,FALSE,TRUE,FALSE,,
com.Fullforce.browser,FALSE,TRUE,FALSE,,
com.gc.adsSkipads.apk,UNKNOWN,UNKNOWN,UNKNOWN,INSTALL_FAILED_VERIFICATION_FAILURE],
com.getfilefrom.browserdownloader,TRUE,TRUE,FALSE,,
com.gobest.goclean,UNKNOWN,UNKNOWN,UNKNOWN,This app detecting other apps that containing adblocker. Not the adblocker itself. Consider to remove from sample list,
com.haasinc.falKonpp,FALSE,TRUE,FALSE,,
com.hamatim.adwarehunter,UNKNOWN,UNKNOWN,UNKNOWN,This app need access to Android accessibility to capture all traffic of other apps installed. ,
com.hanstudio.notifyblocker,UNKNOWN,UNKNOWN,UNKNOWN,This is notification blocker app. It need access to notification manager at OS level.,
com.hsv.freeadblockerbrowser,TRUE,TRUE,FALSE,,
com.hsv.powerbrowser,TRUE,TRUE,FALSE,,
com.hsv.privatebrowser,TRUE,TRUE,FALSE,,
com.imoblife.checkadd_plug_in,UNKNOWN,UNKNOWN,UNKNOWN,This app did not have icon when installed in the device. Further research that this apps is part of All-in-One Toolbox apps,
com.india.ucbrowser,TRUE,TRUE,FALSE,,
com.indian.browser.fast.web.browsing.free,FALSE,TRUE,FALSE,,
com.insher.main,UNKNOWN,UNKNOWN,UNKNOWN,INSTALL_FAILED_VERIFICATION_FAILURE],
com.jawaid.firebrowser,FALSE,TRUE,FALSE,,
com.jimeem.fast.lite.browser,FALSE,FALSE,FALSE,,
com.joettaapps.adblocker,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps,
com.kawkaw.pornblocker.safebrowser.up,TRUE,FALSE,FALSE,Failed to capture traffic sslv3 alert certificate unknown. This apps showing its own ads,
com.keepsolid.privatebrowser,FALSE,TRUE,FALSE,claimed to be VPN browser but the traffic can still redirected to mitmproxy,
com.khashayar.netshield.browsers,UNKNOWN,UNKNOWN,UNKNOWN,Plugin apps for existing browser,
com.kiddoware.kidsafebrowser,TRUE,TRUE,FALSE,,
com.kiwibrowser.browser,TRUE,TRUE,FALSE,,
com.kms.free,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps,
com.kuto.browser,TRUE,FALSE,TRUE,,
com.lechneralexander.privatebrowser,TRUE,TRUE,FALSE,,
com.lookout,UNKNOWN,UNKNOWN,UNKNOWN,"VPN based apps, need to register before use",
com.lostnet.fw.free,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps. Apps not responding,
com.m24apps.appblocker,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps. Apps not responding,
com.magellanbrowser.adblocker,TRUE,FALSE,TRUE,,
com.mario.app.protection,UNKNOWN,UNKNOWN,UNKNOWN,VPN based apps. Need to setup pattern login,
com.maximebertheau.uninstaller,UNKNOWN,UNKNOWN,UNKNOWN,This app is uninstaller. Need permission from all apps installed. Consider to remove from sample,
com.mc.browser,TRUE,TRUE,TRUE,,
com.mebrowser.webapp,TRUE,FALSE,FALSE,Failed to capture traffic sslv3 alert certificate unknown,
