file_name,activities,exp_act,services,exp_serv,receivers,exp_rec,providers,exp_prov
work.ionut.browser.apk,3,0,1,0,4,3,1,0
adblock.browser.lightning.apk,34,4,8,4,4,2,3,0
com.outcoder.browser.apk,20,0,0,0,0,0,1,0
com.hsv.powerbrowser.apk,91,32,78,11,46,26,4,2
leo_r_com.internet_lock.apk,7,1,1,0,4,4,0,0
com.symantec.securewifi.apk,11,1,16,5,9,6,5,0
com.browsers.pegasus.apk,6,3,7,4,3,2,3,0
browser.blockpornbrowser.adblocker.apk,13,1,10,4,4,3,4,0
just.browser.apk,10,0,1,1,1,0,0,0
com.HalfAppit.techblocker.apk,7,0,2,0,2,2,0,0
uk.co.mangofish.zest.apk,5,3,4,1,3,2,2,0
kr.co.lylstudio.unicorn.apk,20,1,10,5,12,11,3,1
com.ume.browser.international.apk,26,3,11,4,9,6,6,0
com.transsion.phoenix.apk,49,5,19,8,8,6,4,0
acr.browser.barebones.apk,4,3,0,0,0,0,1,0
com.sibimobilelab.amazebrowser.apk,13,3,6,0,1,0,0,0
com.gam.antipornoblockerbrowser.apk,6,3,2,0,1,1,2,0
net.bluehack.blu.apk,15,4,9,3,4,3,4,0
com.NewSpeedXBrowser2019SuperFastAdBlocker_9197.apk,30,4,22,2,11,8,1,0
com.indian.browser.fast.web.browsing.free.apk,9,2,2,0,2,1,1,1
tr.abak.simsekTarayici.apk,8,0,2,1,3,2,1,0
org.dotcode.datablocker.apk,9,2,5,5,3,2,0,0
com.dmkho.mbm.apk,4,0,0,0,0,0,0,0
com.dolphin.browser.android.jp.apk,86,11,13,2,19,10,7,1
com.kidoz.apk,5,1,12,4,14,12,2,0
com.ghostery.android.ghostery.apk,27,15,31,1,13,6,10,0
com.joettaapps.adblocker.apk,6,0,5,2,2,2,0,0
com.yandex.browser.alpha.apk,74,16,72,10,41,25,15,8
com.cmcm.freevpn.apk,32,7,13,6,11,6,4,0
com.avira.android.apk,67,4,40,14,24,14,8,1
net.upx.proxy.browser.apk,76,11,78,5,23,7,3,1
com.haasinc.falKonpp.apk,7,1,2,0,0,0,0,0
org.adblockplus.browser.apk,26,16,24,0,15,7,9,0
ads.blocker.browser.apk,7,2,1,1,1,1,0,0
com.baidu.browser.inter.apk,54,2,11,1,8,7,2,1
com.blackbrowser.newsoft.blackbrowser.apk,3,0,4,1,5,4,3,0
com.kwah.privatebrowser.apk,37,8,8,1,9,7,6,2
com.fastbrowser.videodownload.privatebrowser.apk,48,15,15,4,7,5,4,0
com.cake.browser.apk,36,1,14,2,15,10,5,0
com.glennio.premium.apk,2,1,1,1,0,0,0,0
com.brave.browser.apk,69,0,81,0,27,0,4,0
com.creativetrends.simplicity.app.apk,16,3,1,0,0,0,2,0
com.ume.browser.bose.apk,26,3,11,4,9,6,6,0
org.blokada.alarm.dnschanger.apk,3,0,7,2,4,3,2,0
com.ucturbo.apk,41,5,9,0,4,2,2,0
com.alohamobile.browser.lite.apk,16,2,5,0,3,2,2,0
com.kms.free.apk,54,6,26,9,35,26,4,0
com.wBROWSERID_8285526.apk,30,4,22,2,11,8,1,0
cc.lapstudio.dnsplus.apk,5,0,5,3,5,3,1,0
com.eagle.web.browser.fast.privacy.browsers.donwloads.free.apk,7,3,4,1,3,2,2,0
com.cloudflare.onedotonedotonedotone.apk,25,2,22,6,13,4,7,0
com.betafish.adblocksbrowser.apk,1,0,2,0,1,1,1,1
info.guardianproject.orfox.apk,13,4,20,1,12,5,9,0
com.opera.browser.apk,32,5,80,10,18,12,12,0
com.noxgroup.app.browser.apk,70,29,48,6,19,3,7,2
com.luna.vpn.apk,10,0,8,5,3,2,2,0
com.VEB_VandeEarth_Browser.apk,21,6,20,4,13,9,2,0
s.sdownload.adblockerultimatebrowser.apk,52,7,6,1,5,2,9,0
de.mcs.mcsbrowser.apk,9,0,0,0,0,0,0,0
com.kiddoware.kidsafebrowser.apk,45,6,18,3,13,8,7,1
com.antiporn.pornoblock.safebrowser.apk,7,3,2,1,4,2,1,0
com.mc.browser.apk,59,2,12,3,9,5,2,0
leo_r_com-internet_lock.apk,7,1,1,0,4,4,0,0
appinventor.ai_rockanarghya.browser.apk,1,0,0,0,0,0,2,1
com.OlyFox.webbrowser.apk,7,1,1,0,2,1,1,1
com.yandex.browser.apk,74,16,73,10,40,24,15,8
com.cliqz.browser.apk,8,1,6,1,7,4,2,0
com.oh.bro.apk,1,0,1,0,1,0,1,0
com.disconnect.samsungcontentblocker.apk,2,0,0,0,0,0,1,1
com.xbrowser.play.apk,1,0,0,0,0,0,2,1
com.opera.browser.beta.apk,32,5,84,10,20,13,12,0
com.hsv.freeadblockerbrowser.apk,91,32,77,10,46,26,4,2
com.kawkaw.pornblocker.safebrowser.up.apk,5,3,0,0,0,0,2,0
com.cloudmosa.puffin.apk,9,0,1,0,1,1,1,0
com.duckduckgo.mobile.android.apk,17,1,5,1,9,2,2,0
org.mozilla.focus.apk,11,2,9,1,1,1,2,0
com.alohamobile.browser.apk,21,2,16,5,7,4,4,0
co.crystalapp.crystal.apk,1,0,0,0,1,1,1,1
com.apusapps.browser.apk,160,14,40,12,16,9,18,3
trim.altict.com.apk,8,0,2,1,3,2,1,0
org.torproject.torbrowser_alpha.apk,21,15,17,1,7,3,10,0
com.opera.mini.native.beta.apk,15,4,27,13,25,10,13,1
com.opera.mini.native.apk,15,4,27,13,25,10,13,1
org.mozilla.firefox.apk,26,15,40,2,14,6,10,0
adblocker.lite.browser.apk,7,1,2,0,0,0,0,0
com.trendmicro.freetmms.gmobi.apk,138,5,38,10,14,8,12,0
com.ecosia.android.apk,75,31,55,5,19,8,4,2
pure.lite.browser.apk,27,1,1,0,1,1,1,0
com.z28j.feel.apk,1,0,2,0,0,0,1,0
fast.explorer.web.browser.apk,19,2,8,1,4,2,1,0
com.adguard.android.contentblocker.apk,8,0,1,1,2,2,1,1
com.ultronmedia.browser.apk,6,5,0,0,0,0,0,0
com.secore.privacyshield.apk,13,0,3,3,5,5,0,0
com.internetexplorer.browser.web.apk,34,4,8,4,4,2,3,0
com.drweb.apk,0,0,0,0,0,0,0,0
co.zew.deebrowser.apk,11,9,2,0,0,0,0,0
com.gikix.browser.apk,73,32,82,6,24,9,6,2
nextapp.atlas.apk,12,0,0,0,0,0,0,0
com.ksmobile.cb.apk,27,5,12,4,16,12,7,1
web.browser.navigateur.apk,12,5,5,3,7,5,2,0
com.mebrowsermini.webapp.apk,34,4,9,5,6,3,4,0
com.google.android.apps.freighter.apk,34,4,26,5,33,18,1,0
com.dolphin.browser.zero.apk,1,0,0,0,0,0,0,0
com.orbitum.browser.apk,38,5,13,7,15,13,4,1
com.androidbull.incognito.browser.apk,13,2,4,1,5,2,4,0
com.comodo.cisme.antivirus.apk,43,10,32,11,35,24,8,2
reactivephone.msearch.apk,14,3,11,3,11,9,3,0
com.quark.browser.apk,13,5,7,0,4,2,1,0
com.hsv.privatebrowser.apk,91,32,78,11,46,26,4,2
com.appsisland.ads.shield.content.blocker.apk,9,0,0,0,1,1,1,1
com.qk.search.browser.apk,17,0,4,0,4,3,1,0
br.marcelo.monumentbrowser.apk,4,1,1,0,0,0,1,0
fast.download.privacy.internet.explorer.im.apk,15,1,10,4,4,3,3,0
com.magellanbrowser.adblocker.apk,45,6,1,0,0,0,5,0
com.lechneralexander.privatebrowser.apk,3,2,0,0,0,0,0,0
com.hotspotvpn.android.apk,34,6,16,7,18,6,9,0
com.kiwibrowser.browser.apk,70,32,53,5,18,7,4,2
com.nationaledtech.spinbrowser.apk,25,15,34,2,13,6,10,1
org.mozilla.firefox_beta.apk,27,16,40,2,15,7,10,0
com.opera.touch.apk,17,3,7,2,5,3,4,0
com.microsoft.emmx.apk,130,19,85,13,36,19,3,1
io.friendly.apk,22,1,6,2,14,3,5,0
com.saschaha.browser.apk,4,0,0,0,0,0,0,0
adblock.browser.no.ads.apk,29,10,9,4,10,7,2,0
com.Fullforce.browser.apk,10,1,2,0,0,0,1,0
com.trendmicro.tmmspersonal.apk,170,6,30,6,25,12,13,1
com.uc.browser.en.apk,39,23,32,7,9,5,7,0
com.keepsolid.privatebrowser.apk,10,1,16,5,7,3,5,0
com.browser.tssomas.apk,78,11,79,5,26,9,3,1
