file_name,activities,exp_act,services,exp_serv,receivers,exp_rec,providers,exp_prov
adblock.browser.lightning.apk,13,10,2,0,2,0,0,0
com.adsbrower.apk,15,1,1,0,1,1,1,1
com.ilegendsoft.mercury.apk,71,6,3,0,2,2,1,0
com.ideashower.readitlater.pro.apk,41,10,14,0,9,5,0,0
acr.browser.barebones.apk,4,3,0,0,0,0,0,0
tr.abak.simsekTarayici.apk,8,0,2,1,3,2,1,0
com.marthogames.starlander.apk,1,0,0,0,0,0,0,0
com.dolphin.browser.android.jp.apk,84,11,7,0,13,8,5,1
com.wDeepSeacrhBrowser.apk,7,0,1,0,3,3,0,0
com.ghostery.android.ghostery.apk,14,2,0,0,0,0,0,0
com.jakkarrlgames.mathguru.apk,1,0,0,0,0,0,0,0
com.jiran.xkeeperMonitor.apk,9,0,2,0,4,3,0,0
com.cleanmaster.security.apk,239,36,30,8,36,25,19,5
org.adblockplus.browser.apk,125,111,15,1,13,9,9,2
com.flyingcat.retroracing.apk,3,0,0,0,0,0,0,0
ads.blocker.browser.apk,7,2,1,1,1,1,0,0
com.baidu.browser.inter.apk,54,2,11,1,8,7,2,1
org.torproject.android.apk,7,0,2,1,1,1,0,0
org.zirco.apk,17,0,0,0,1,1,2,2
com.lichme.wootstalker.apk,21,0,1,0,1,1,0,0
free.publicvpn.apk,14,0,0,0,0,0,0,0
com.jrzheng.supervpnfree.apk,11,1,3,0,2,1,0,0
com.wFastWebbrowserFree.apk,7,0,1,0,3,3,0,0
com.tigervpns.android.apk,21,1,10,4,6,5,1,0
com.blmonitor.apk,9,0,2,0,2,2,0,0
com.betafish.adblocksbrowser.apk,1,0,1,0,1,1,1,1
net.ac.browser.apk,6,5,0,0,0,0,0,0
com.opera.browser.apk,13,0,26,0,10,8,4,0
com.play.adskip.apk,32,1,4,0,5,5,1,1
com.kiddoware.kidsafebrowser.apk,18,0,0,0,3,3,2,1
org.adblockplus.android.apk,6,0,2,0,1,1,0,0
com.paloaltonetworks.globalprotect.apk,15,1,4,2,8,6,0,0
com.titlisapp.simpleflv.apk,8,0,0,0,0,0,0,0
com.yandex.browser.apk,26,8,41,2,20,14,5,2
com.cliqz.browser.apk,7,3,5,1,6,4,1,0
com.imoblife.checkadd_plug_in.apk,4,1,0,0,2,2,0,0
com.opera.browser.beta.apk,17,0,32,1,16,13,6,0
com.frozenriver.sigmavpn.apk,1,0,1,1,0,0,0,0
com.hsv.freeadblockerbrowser.apk,35,5,48,4,18,11,3,1
com.mobligation.timberadblock.apk,2,0,5,0,4,3,2,1
com.wMagnetobrowser.apk,12,0,3,0,6,5,0,0
co.crystalapp.crystal.apk,1,0,1,0,1,1,1,1
trim.altict.com.apk,4,3,0,0,0,0,0,0
com.whatsapp.apk,107,21,19,3,11,8,3,0
com.posstream.Monitor.apk,7,1,4,0,4,2,0,0
com.tako.android.cleanpage.apk,4,0,2,1,2,2,1,0
com.aqh.medways.apk,12,8,1,0,1,1,0,0
com.opera.mini.native.apk,5,2,8,0,8,2,5,1
org.mozilla.firefox.apk,16,6,19,1,14,7,8,0
com.dolphin.browser.express.web.apk,85,12,8,1,9,5,5,1
com.adguard.android.contentblocker.apk,6,0,0,0,0,0,1,1
com.mokee.yubrowser.apk,37,5,50,4,16,7,4,3
com.secore.privacyshield.apk,11,0,3,3,5,5,0,0
com.excelliance.adblock.apk,116,7,259,3,54,54,0,0
co.zew.deebrowser.apk,11,9,2,0,0,0,0,0
com.jet.browser.apk,8,5,3,0,3,2,0,0
com.ksmobile.cb.apk,20,5,5,0,7,6,2,1
com.conjugate.adsblocker.apk,6,0,0,0,0,0,0,0
com.opera.vpn.apk,11,0,6,1,7,7,2,0
com.grvsoftware.GRVCPS.apk,1,0,1,0,2,1,0,0
com.flyperinc.flyperlink.apk,17,1,4,1,3,2,1,0
com.zohib.browser.apk,4,3,0,0,0,0,0,0
com.jerky.browser2.apk,17,2,0,0,0,0,0,0
mobi.flame.browser.apk,49,6,16,2,17,16,0,0
com.jiran.xkeeperMobile.apk,23,3,3,0,2,2,0,0
siy.browser.apk,6,5,0,0,0,0,0,0
com.appsverse.photon.apk,18,2,10,3,5,3,1,0
com.btzsoft.vpnclient.apk,6,0,1,1,0,0,0,0
com.mmbox.xbrowser.gp.apk,1,0,0,0,1,1,1,1
jad.internet.browser.block.apk,8,5,0,0,0,0,0,0
com.chisstech.android2.apk,17,1,6,1,4,4,0,0
com.wFastCat.apk,12,0,3,0,6,5,0,0
com.mmbox.xbrowser.pro.apk,1,0,0,0,1,1,1,1
com.blinkbuddies.musicalbabymobile.apk,5,0,0,0,0,0,0,0
com.saschaha.browser.apk,4,0,0,0,0,0,0,0
com.bluepointsecurity.adtrapaurora.apk,2,0,2,0,1,0,1,1
or.kr.moiba.winc.apk,11,10,0,0,0,0,0,0
it.mic.rassegnastampa.apk,11,0,0,0,0,0,0,0
com.vionika.firephoenix.apk,124,112,14,1,13,9,9,2
com.lausny.ocvpnaio.allpay.apk,20,5,3,0,2,1,0,0
jad.fast.internet.browser.apk,9,5,0,0,0,0,0,0
hotspotshield.android.vpn.apk,72,2,10,3,13,12,1,1
org.adblockplus.adblockplussbrowser.apk,1,0,1,0,1,1,1,1
com.inquso.email.apk,39,18,9,4,11,6,3,3
com.mobilefence.family.apk,19,0,4,1,12,5,0,0
jp.myumyu.piggybrowser.apk,3,0,0,0,0,0,0,0
dotc.mobi.swift.browser.apk,39,10,6,2,7,7,0,0
sairam.simplebrowser.apk,17,0,0,0,1,1,2,2
com.mls.updater.apk,5,0,8,0,5,4,0,0
com.browser.securebrowser.apk,13,5,13,1,9,5,9,0
browser4g.fast.internetwebexplorer.apk,18,4,4,0,3,1,0,0
net.bypass.vpn.apk,9,0,3,1,3,2,0,0
com.iamveryrich.apk,2,0,0,0,0,0,0,0
mobi.mgeek.browserfaster.apk,3,0,1,1,0,0,0,0
es.soguezvm.supreme.apk,8,0,1,0,0,0,0,0
