file_name,activity_perc,service_perc,receiver_perc,provider_per
com.porn.blocker.purity.browser.apk,11.76,20.0,47.06,0.0
com.outcoder.browser.apk,0.0,20.0,47.06,0.0
com.msw.pornblocker.apk,0.0,25.0,16.67,0.0
to.freedom.android2.apk,0.0,52.94,66.67,0.0
com.hsv.powerbrowser.apk,18.89,9.76,34.21,20.0
com.vivaldi.browser.apk,25.0,8.33,20.0,33.33
com.symantec.securewifi.apk,5.88,22.22,26.32,0.0
com.m24apps.appblocker.apk,1.82,15.79,46.15,0.0
com.ume.browser.international.apk,18.33,19.05,29.17,0.0
com.transsion.phoenix.apk,57.58,30.43,52.94,10.0
com.adblock.App.apk,0.0,0.0,100.0,50.0
org.blpomda.alarm.apk,30.77,16.67,84.62,0.0
acr.browser.barebones.apk,75.0,16.67,84.62,0.0
com.droid.netflixIMDB.apk,0.0,16.67,50.0,0.0
com.adblocker.ashazapps.apk,0.0,0.0,100.0,50.0
com.sibimobilelab.amazebrowser.apk,23.08,0.0,0.0,50.0
com.mario.app.protection.apk,0.0,11.11,60.0,0.0
net.bluehack.blu.apk,26.67,33.33,75.0,0.0
com.indian.browser.fast.web.browsing.free.apk,22.22,0.0,50.0,100.0
com.protectstar.firewall.apk,0.0,12.5,60.0,0.0
care4u.browsecare.apk,7.69,11.11,11.11,0.0
com.uc.browser1.apk,58.33,0.0,75.0,0.0
com.adguard.vpn.apk,21.43,62.5,22.22,0.0
com.dolphin.browser.android.jp.apk,12.64,13.33,52.63,14.29
com.hamatim.adwarehunter.apk,0.0,16.67,0.0,0.0
com.maximebertheau.uninstaller.apk,0.0,0.0,66.67,0.0
com.india.ucbrowser.apk,0.0,0.0,66.67,0.0
fishpowered.best.browser.apk,0.0,0.0,66.67,0.0
com.vpngalaxy.app.apk,8.33,17.65,77.78,33.33
live.teekamsuthar.mutify.apk,0.0,50.0,50.0,33.33
com.joettaapps.adblocker.apk,4.55,22.22,77.78,0.0
com.yandex.browser.alpha.apk,16.67,10.2,43.1,30.3
com.avira.android.apk,13.21,30.43,43.75,14.29
net.upx.proxy.browser.apk,28.57,9.09,18.75,20.0
com.haasinc.falKonpp.apk,14.29,0.0,18.75,20.0
