file_name,permission,status,info
com.porn.blocker.purity.browser.apk.json,android.permission.INTERNET,normal,full Internet access
com.porn.blocker.purity.browser.apk.json,android.permission.RECEIVE_BOOT_COMPLETED,normal,automatically start at boot
com.porn.blocker.purity.browser.apk.json,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.porn.blocker.purity.browser.apk.json,com.android.launcher.permission.INSTALL_SHORTCUT,unknown,Unknown permission
com.porn.blocker.purity.browser.apk.json,android.permission.ACTION_MANAGE_OVERLAY_PERMISSION,unknown,Unknown permission
com.porn.blocker.purity.browser.apk.json,android.permission.SYSTEM_ALERT_WINDOW,dangerous,display system-level alerts
com.porn.blocker.purity.browser.apk.json,android.permission.FOREGROUND_SERVICE,normal,
com.porn.blocker.purity.browser.apk.json,android.permission.PACKAGE_USAGE_STATS,signature,update component usage statistics
com.porn.blocker.purity.browser.apk.json,android.permission.REQUEST_DELETE_PACKAGES,normal,
com.porn.blocker.purity.browser.apk.json,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,unknown,Unknown permission
com.porn.blocker.purity.browser.apk.json,android.permission.WAKE_LOCK,normal,prevent phone from sleeping
com.porn.blocker.purity.browser.apk.json,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.porn.blocker.purity.browser.apk.json,com.google.android.c2dm.permission.RECEIVE,signature,C2DM permissions
com.outcoder.browser.apk.json,android.permission.INTERNET,normal,full Internet access
com.outcoder.browser.apk.json,android.permission.ACCESS_NETWORK_STATE,normal,view network status
com.outcoder.browser.apk.json,android.permission.ACCESS_WIFI_STATE,normal,view Wi-Fi status
com.outcoder.browser.apk.json,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,read/modify/delete external storage contents
com.outcoder.browser.apk.json,android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents
com.outcoder.browser.apk.json,android.permission.ACCESS_COARSE_LOCATION,dangerous,coarse (network-based) location
com.outcoder.browser.apk.json,android.permission.ACCESS_FINE_LOCATION,dangerous,fine (GPS) location
com.outcoder.browser.apk.json,android.permission.NFC,normal,control Near-Field Communication
com.outcoder.browser.apk.json,android.permission.USE_FINGERPRINT,normal,allow use of fingerprint
com.outcoder.browser.apk.json,android.permission.VIBRATE,normal,control vibrator
com.outcoder.browser.apk.json,com.android.vending.BILLING,unknown,Unknown permission
com.outcoder.browser.apk.json,com.android.vending.CHECK_LICENSE,unknown,Unknown permission
com.msw.pornblocker.apk.json,android.permission.INTERNET,normal,full Internet access
