file_name,class_name,package_component,detail
com.mw.applockerblocker.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
nextapp.atlas.apk,classes.dex,compiler,['dx']
com.ad_detector.airpushdetector.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.smsBlocker.apk,classes.dex,compiler,['r8']
id.mukti.app.adblockuiandroid.apk,classes.dex,compiler,['r8']
com.agooday.skipads.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.insher.main.apk,classes.dex,compiler,['r8']
com.orbitum.browser.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.androidbull.incognito.browser.apk,classes.dex,compiler,['r8']
com.thmf.as.skip_ads.apk,classes.dex,compiler,['r8']
com.comodo.cisme.antivirus.apk,classes4.dex,compiler,['r8 without marker (suspicious)']
reactivephone.msearch.apk,classes.dex,compiler,['r8']
co.easy4u.ncleaner.apk,assets/audience_network.dex,compiler,['unknown (please file detection issue!)']
com.hsv.privatebrowser.apk,classes.dex,compiler,['r8']
com.rotech.adblock.apk,classes.dex,compiler,['r8']
com.appsisland.ads.shield.content.blocker.apk,classes.dex,manipulator,['dexmerge']
com.qk.search.browser.apk,classes.dex,manipulator,['dexmerge']
br.marcelo.monumentbrowser.apk,classes.dex,compiler,['r8']
com.blindcut.flutter.browser.apk,classes.dex,compiler,['unknown (please file detection issue!)']
com.magellanbrowser.adblocker.apk,classes.dex,compiler,['r8 without marker (suspicious)']
com.lechneralexander.privatebrowser.apk,classes.dex,compiler,['r8']
com.naver.whale.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.kiwibrowser.browser.apk,classes.dex,compiler,['dx']
com.nationaledtech.spinbrowser.apk,classes.dex,compiler,['r8 without marker (suspicious)']
org.mozilla.firefox_beta.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.opera.touch.apk,classes2.dex,compiler,['r8 without marker (suspicious)']
com.rhaon.ad_skip.apk,classes.dex,compiler,['r8']
com.opera.oxbrowser.apk,classes.dex,compiler,['r8']
io.friendly.apk,classes3.dex,compiler,['r8 without marker (suspicious)']
com.saschaha.browser.apk,classes.dex,compiler,['dx']
app.adlocker.apk,classes.dex,compiler,['r8']
com.blocknotification.gamemode.apk,classes.dex,manipulator,['dexmerge']
com.Fullforce.browser.apk,classes.dex,compiler,['r8']
adblock.browser.popup.detector.apk,classes.dex,compiler,['dx']
com.TripleVGames.Adblocker.apk,classes.dex,compiler,['dx']
app.no.vpn.apk,classes.dex,manipulator,['dexmerge']
com.uc.browser.en.apk,lib/armeabi-v7a/libsgsecuritybody.so!classes.dex,compiler,['dx']
com.camhart.pornblocker.apk,classes3.dex,compiler,['r8']
com.notification.cleaner.apk,classes.dex,compiler,['dx']
